Income,Credit_Score,Debt_to_Income_Ratio,Savings,Employment_Stability,Market_Conditions,Interest_Rates,Cost_of_Living,Loan_to_Value_Ratio,Age,Dependents,Home_Affordability
5621.780831931537,802,0.20807699908988075,33008.61387046985,3,284359.33528263273,4.625701943073516,2386.8750449436448,0.9166816558305315,32,1,0
9655.000144869413,511,0.2406720758176618,40159.48350862873,9,431483.59352720255,4.1575129527199985,3985.808515428456,0.8750537540576585,38,2,0
8123.957592679835,817,0.009596138411528343,31023.42797391623,5,431825.08627321996,4.23657004202744,4574.039885573271,0.8536269992640856,34,0,1
7190.609389379256,579,0.1299066043725171,11613.321931469436,2,383755.5287297545,4.5629241775094185,4027.156891609588,0.8416140102201469,27,2,1
4092.1304830970557,715,0.3801449115610675,41500.56964700619,7,142160.5509585849,4.406554455464903,2328.0028084707164,0.8964203075243123,53,0,0
4091.9616423534185,838,0.06855485286449953,33617.96182236778,2,435541.54476162756,4.668916505712193,3977.768671350215,0.9039201797944862,39,0,1
3406.585285177396,763,0.2676550657262958,22467.4567757148,4,368405.19221316394,3.112427810919757,1607.9207298962049,0.9306451399793814,47,1,0
9063.233020424546,648,0.10760093600861875,35335.86329912284,7,378809.6664017198,4.49504127349301,1521.2719523651635,0.8513501123691486,47,1,0
7207.805082202462,580,0.006060387321946636,16695.724065927476,4,245193.13616154864,4.701705514644191,2382.508148144636,0.9154658461078378,42,1,0
7956.508044572319,714,0.12060072879977074,20533.649382239473,7,451711.8224628027,3.572270084916629,4230.809476176228,0.8842033736284007,43,2,1
3144.0914600706174,697,0.4879368774550269,46286.86294093956,7,390148.640093943,4.280894547986506,1985.3929889692074,0.9324254736017118,52,1,1
9789.36896513396,699,0.4007685559414948,18072.70275521392,1,145036.18661167778,3.6283241276739444,1253.0136355947184,0.8791718162443432,50,1,1
8827.098485602952,524,0.4797883221605167,26149.472067107148,6,263111.21376246505,4.915942132964908,1526.8381408254204,0.877644474259695,34,0,1
4486.373774747934,588,0.24392702196318122,45056.35118282066,9,454552.1447840567,3.0668471448710077,4434.97987411832,0.8866815622161364,28,1,1
4272.774770449704,767,0.05486809933875175,36847.46076203874,2,118878.6806789516,4.15958568766591,3535.1331389891507,0.9123973032713651,26,1,1
4283.831568974037,642,0.2739797444868465,7799.145177411624,3,484566.6478568198,3.33300709409903,2012.8046534799066,0.9447035718242691,27,1,0
5129.695700716764,558,0.22718866727998044,11628.636992553666,5,371665.02732782514,4.424440410354317,3221.1833013127252,0.8110345031323649,31,1,1
6673.295021425665,525,0.422178541369808,5352.871584736256,9,352550.3910573507,3.3517805668373244,3110.3184897014016,0.8080151903586527,40,0,0
6023.615130494811,546,0.049041290392122294,33391.48056031235,4,208223.70259519655,3.470766523796715,3621.743913762645,0.9406325506111007,55,1,0
5038.6039813862935,787,0.2441205685108891,25145.304143468824,1,199516.71549567083,3.988741622091516,1932.7502176864652,0.8794813438277309,34,0,1
7282.970263056656,765,0.07502433234699213,11042.368290602399,4,476823.2877954382,4.829669899993756,4457.61194877759,0.8922354521850404,43,2,0
3976.4570245642926,515,0.16233796344503,48107.03544755467,6,219308.98169364908,3.4234287442959417,2237.4742483200516,0.8723635402392094,52,1,0
5045.012539746527,698,0.3686785386938998,28834.687577552893,5,410202.1186875997,3.2884800422362073,3776.5266159049474,0.8140486178911213,41,1,0
5564.532903055842,781,0.23800906468438326,15885.198235080014,1,257248.71928283165,4.517953663708061,1064.4985854888596,0.9152134067627999,52,1,1
6192.489889519251,585,0.18794414257288466,27527.16070196184,4,155701.62831388158,4.001239064667862,2490.628519576589,0.912083696763288,43,0,1
8496.231729751096,749,0.19723813928501766,35582.91497307985,6,104286.11907814359,4.823570224763543,2406.8392718352334,0.8467554982239218,47,1,0
4397.716475108518,769,0.22972338420299332,8430.764808810402,4,317702.9348061003,3.2932291143196846,3173.937714332058,0.8459358867842601,44,1,1
6599.641068895281,834,0.39250827191852844,17361.67167715514,9,490311.52741957305,4.291855786046079,1290.945047108786,0.9256762071358278,37,2,0
7146.901982034297,616,0.4460423444701172,41313.447089779715,5,247654.4775236818,3.4657582923036303,4160.525494904434,0.810853588661199,37,0,1
